Year,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,Brazil,China,India,Indonesia,Morocco,Singapore,South Africa,Thailand,World
2005_REC_ktoe,4848.327694,6566.013515,1029.2055,43213.76061,7047.347506,2099.239805,2409.928892,575.2677563,7971.932106,14404.04035,15671.23239,1610.554742,955.1114427,1200.588824,353.52225,836.6879425,9469.957676,12471.80379,1474.526328,935.1882274,77.36377831,10922.76121,1746.099513,3670.607498,11983.19689,4463.095743,3697.69496,738.7393666,751.4730805,7440.205387,13810.80113,3918.569685,10001.5932,2011.164518,91300.86481,79779.1736,223381.6072,173962.7532,54866.21333,2316.129008,72.02469044,9847.926139,14154.39952,1360041.315
2006_REC_ktoe,4993.290207,7228.061014,1165.077834,42132.52087,7536.393963,2212.186577,2306.099041,525.1902238,8283.221782,13992.43441,18334.98073,1760.994806,1082.695724,1311.044521,409.0744053,851.0404304,10506.39594,13652.16958,1439.856121,983.6585794,84.75787265,10923.42503,1977.589411,3728.495005,11642.45924,4658.154781,4400.24829,748.2485282,755.3130703,8417.222585,14163.1743,3762.705578,10353.47695,2268.800883,99702.65516,83357.7965,225468.163,174948.7238,54893.87214,2165.354412,71.62473324,10006.89612,14813.08907,1400620.996
2007_REC_ktoe,5213.342138,7698.512885,1338.590279,43448.09641,6971.481932,2265.36708,2681.513608,605.041562,8461.05735,15123.57555,20943.57983,1728.478323,1183.426301,1479.882919,438.6067761,871.0699475,12108.98818,12627.41712,1451.0172,1086.516492,143.5103954,10734.25823,2292.303111,3710.186718,12046.17475,4734.412733,4721.525314,949.3346202,729.4381134,9163.162326,14867.38356,3890.34609,9568.44589,2616.44331,99358.35587,89169.79252,215161.0379,181191.1256,55440.69507,2041.244891,75.11788632,10358.35633,15741.62859,1421738.214
2008_REC_ktoe,5168.763297,7914.128846,1662.728581,43222.02309,6962.690332,2465.3394,2764.951904,654.5272335,8935.251342,17057.43609,19808.0536,1721.582022,1284.634371,1879.146969,523.0755713,1223.371519,14992.17875,12522.17023,1406.506962,1128.997403,158.0591334,11422.14862,2433.15167,3581.328534,12260.87128,5292.323591,4523.743157,902.1038338,764.3806851,9542.945736,15159.63357,4084.03005,9173.935531,3944.57971,104876.6976,92186.13584,212241.6264,183625.0612,54339.21092,1885.039442,63.19679983,10637.31693,16707.50326,1444326.013
2009_REC_ktoe,5351.406635,8039.015779,1906.171365,41710.83625,7101.424633,2691.125273,2761.179551,686.0481326,7856.946283,17524.17268,20935.46495,1841.183141,1560.226994,1910.172324,604.4788139,1171.73776,16402.24737,12417.54288,1540.756877,1056.548989,138.2750075,10170.69557,2657.280735,3805.936084,11367.81004,5750.700734,4709.300697,1084.606885,958.6490277,11112.83396,15172.56371,4097.437125,9925.64501,4477.543897,106783.6036,93917.22575,211746.4653,182780.1049,54349.7883,1908.90665,62.37629165,10718.58938,17781.04865,1467187.537
2010_REC_ktoe,6187.998727,8451.51964,2467.81562,41362.33012,6452.397988,2930.206865,3199.381598,747.8655841,8880.441052,18925.91485,23870.87792,2161.467662,2552.608669,1909.626597,606.6150926,1261.897882,17111.45968,14430.75324,1347.027377,1158.927804,144.2647049,10974.29287,2527.587274,4070.38379,12093.47504,6639.854317,5272.28863,1175.898962,1017.953103,13281.1201,16103.72653,4411.606995,11240.28232,5021.270531,113552.3526,99325.0759,211948.7084,188901.2526,55113.57561,1904.863013,72.57197443,10690.24828,19233.99112,1524967.448
2011_REC_ktoe,6505.292814,8233.04958,2604.345663,42657.72156,7219.114456,3134.509261,3410.621619,720.0256744,8816.257864,16800.75334,25182.666,2114.652708,2762.541792,1936.500123,702.4033807,1270.803912,15218.08515,14481.54654,1366.989972,1332.91754,147.0171971,10908.87006,2837.14406,4115.942562,11617.90769,7136.899889,4939.995007,1136.017941,951.9970947,13102.9354,15441.59664,4092.387128,10524.57901,5561.077445,120350.6305,99231.92873,203993.2958,197821.5156,58642.46133,1728.987823,76.77117944,10792.27397,19500.11877,1540604.418
2012_REC_ktoe,6592.986625,8969.008537,3079.672328,43859.83159,7565.077601,3310.16396,3747.722417,731.3152881,9765.855233,19567.83428,26880.02135,2374.250002,2925.043601,2017.922738,680.6515392,374.6318059,18049.14264,13833.02752,1616.643273,1430.570434,159.7339666,10690.10463,3031.517925,3958.072419,12029.30104,7410.83651,4181.287864,1072.497383,984.4431025,13356.10231,16614.38602,4500.325717,11056.29274,6129.027303,122663.5702,98117.12728,217016.092,197739.1901,60747.54646,1625.553819,79.22208288,10825.5135,21390.7684,1582010.103
2013_REC_ktoe,7371.758562,9527.801351,3394.120208,43985.24638,8027.14543,3569.066868,3713.704339,740.1314055,9661.099753,21633.74666,27672.98928,2496.049904,3072.650735,2068.59712,766.6155152,467.6734294,19750.71903,15027.15755,1519.568569,1486.508035,217.3098832,11038.21823,3023.427755,4008.484551,11945.23074,7628.474797,4895.114237,1129.238919,1074.314983,13746.93068,15989.77204,4608.620643,11849.06753,7807.100042,130295.4996,97110.47625,221858.9675,197666.6321,56724.50469,1754.878856,94.07094733,10935.92557,22005.21391,1630061.544
2014_REC_ktoe,7538.165118,9347.981532,3619.616645,43613.65547,6655.763785,3734.677473,3941.366393,732.6828909,10307.16075,20111.96408,29127.42337,2494.745593,2776.589755,2098.555563,869.1935254,526.3325286,19876.94185,16702.78312,1556.733223,1603.568438,250.8249721,11585.44176,3141.263183,4323.70483,11537.6582,7543.772191,4929.466758,1192.321573,1050.798927,13649.74297,15858.1625,4301.913646,9983.479758,9086.285518,132638.636,97351.82554,235192.9556,197392.5045,56424.10618,1703.648219,111.44497,11270.32916,23275.98944,1662749.323
2015_REC_ktoe,7424.272744,9290.431222,3780.401996,43468.80843,6223.375648,3766.158164,4504.191937,781.9906806,10567.13053,20663.72581,31384.02728,2822.927518,2934.495683,2206.130299,953.0020124,548.3787264,19629.45107,18493.13367,1444.295831,1704.655011,323.1404028,11040.83939,3323.424015,4359.747258,11793.57641,7921.020545,4410.345259,1345.475939,999.6097272,12957.2791,17204.35442,4704.814804,12518.41306,10985.26128,131682.1302,99730.42188,243438.1331,199481.5683,54326.59889,1707.917833,133.4785445,11351.50699,22408.5523,1698494.742
