Country_Name,1990_TEC_ktoe,1991_TEC_ktoe,1992_TEC_ktoe,1993_TEC_ktoe,1994_TEC_ktoe,1995_TEC_ktoe,1996_TEC_ktoe,1997_TEC_ktoe,1998_TEC_ktoe,1999_TEC_ktoe,2000_TEC_ktoe,2001_TEC_ktoe,2002_TEC_ktoe,2003_TEC_ktoe,2004_TEC_ktoe,2005_TEC_ktoe,2006_TEC_ktoe,2007_TEC_ktoe,2008_TEC_ktoe,2009_TEC_ktoe,2010_TEC_ktoe,2011_TEC_ktoe,2012_TEC_ktoe,2013_TEC_ktoe,2014_TEC_ktoe,2015_TEC_ktoe,1990_REC_%,1991_REC_%,1992_REC_%,1993_REC_%,1994_REC_%,1995_REC_%,1996_REC_%,1997_REC_%,1998_REC_%,1999_REC_%,2000_REC_%,2001_REC_%,2002_REC_%,2003_REC_%,2004_REC_%,2005_REC_%,2006_REC_%,2007_REC_%,2008_REC_%,2009_REC_%,2010_REC_%,2011_REC_%,2012_REC_%,2013_REC_%,2014_REC_%,2015_REC_%,1990_REC_ktoe,1991_REC_ktoe,1992_REC_ktoe,1993_REC_ktoe,1994_REC_ktoe,1995_REC_ktoe,1996_REC_ktoe,1997_REC_ktoe,1998_REC_ktoe,1999_REC_ktoe,2000_REC_ktoe,2001_REC_ktoe,2002_REC_ktoe,2003_REC_ktoe,2004_REC_ktoe,2005_REC_ktoe,2006_REC_ktoe,2007_REC_ktoe,2008_REC_ktoe,2009_REC_ktoe,2010_REC_ktoe,2011_REC_ktoe,2012_REC_ktoe,2013_REC_ktoe,2014_REC_ktoe,2015_REC_ktoe
Mexico,83324,86125,86294,86368,90342,87022,88643,89332,91880,91937,95274,93015,93572,97355,102159,105987,111190,113511,116915,110932,117247,120321,119245,119573,118722,119811,14.41330169,13.19551185,13.42709155,13.30396934,11.86310293,13.26183323,13.06472384,12.69977739,12.23845337,12.74846132,12.16735994,11.34388488,10.68278055,10.16903862,10.21329275,10.30575562,9.824107412,9.456579741,9.769617777,9.168405481,9.359977543,9.066472235,8.964824208,9.231363457,9.758462423,9.215213455,12009.7395,11364.63458,11586.77438,11490.37224,10717.36445,11540.71251,11580.96315,11344.96514,11244.69096,11720.55288,11592.33051,10551.51452,9996.091416,9900.067549,10433.79774,10922.76121,10923.42503,10734.25823,11422.14862,10170.69557,10974.29287,10908.87006,10690.10463,11038.21823,11585.44176,11040.83939
Netherlands,53854,55878,55180,56300,56592,57716,61637,59412,59203,59083,59322,60058,60785,63086,63497,62999,62744,61594,61227,60254,65259,60407,61091,60168,55503,56430,1.201611136,1.169571601,1.213752817,1.212133263,1.26459149,1.277067851,1.28731662,1.507533301,1.570517547,1.65409445,1.751963262,1.782581591,1.933693827,1.924418912,2.239479432,2.771630523,3.151838281,3.721633781,3.973984795,4.410131668,3.873162742,4.696714057,4.962298743,5.024976324,5.659627737,5.889463079,647.1156612,653.5332192,669.7488044,682.4310271,715.657616,737.0724809,793.4633451,895.6556848,929.7935034,977.2886239,1039.299646,1070.582852,1175.395793,1214.038915,1422.002255,1746.099513,1977.589411,2292.303111,2433.15167,2657.280735,2527.587274,2837.14406,3031.517925,3023.427755,3141.263183,3323.424015
New Zealand,9764,9891,10032,10326,10914,11378,11712,11884,11759,12263,12935,12916,13487,12802,13204,12541,12691,12739,12718,12592,12995,12811,12988,13359,14259,14160,30.03059277,29.67894686,27.60858014,29.24854195,30.19779515,30.58454268,29.44858311,27.6501627,29.5896025,28.65976545,28.95808981,26.88088194,28.77021445,28.10631602,30.55535317,29.26885813,29.37904818,29.1246308,28.15952614,30.22503243,31.32269173,32.1281911,30.47484154,30.00587283,30.32263714,30.78917555,2932.187078,2935.544634,2769.69276,3020.204442,3295.787363,3479.909266,3449.018054,3285.945335,3479.441358,3514.547037,3745.728917,3471.934711,3880.238823,3598.170577,4034.528833,3670.607498,3728.495005,3710.186718,3581.328534,3805.936084,4070.38379,4115.942562,3958.072419,4008.484551,4323.70483,4359.747258
Norway,17434,17226,17031,17517,17907,18585,18921,18845,19585,19809,19799,20381,19974,20214,20487,20452,20404,20990,20961,20024,21433,20552,20642,20693,20172,20414,59.17374641,60.78488034,61.37896386,61.09732838,60.39894619,60.04712533,57.85055497,58.83887869,59.51691634,59.4149466,60.18813121,59.60640927,59.49311285,56.25686892,56.87160659,58.59180953,57.05969043,57.39006553,58.49373253,56.77092509,56.42455578,56.52932897,58.27585039,57.72594953,57.19640195,57.7720016,10316.35095,10470.80349,10453.45133,10702.41901,10815.63929,11159.75824,10945.90351,11088.18669,11656.38807,11769.50677,11916.6481,12148.38227,11883.15436,11371.76348,11651.28604,11983.19689,11642.45924,12046.17475,12260.87128,11367.81004,12093.47504,11617.90769,12029.30104,11945.23074,11537.6582,11793.57641
Poland,61438,61724,60317,64911,62852,64524,68514,67174,62271,60574,57769,57888,57274,59247,60980,61861,64841,65071,66067,65038,69977,68375,67895,66838,65205,66499,2.501484839,2.064668571,2.302748681,6.131102223,6.195140782,6.332528762,5.86500109,5.982369508,6.536805795,6.410042299,6.926653185,7.2914594,7.490107297,7.292936788,7.310031005,7.21471645,7.183965055,7.275764524,8.010540196,8.842062692,9.488623858,10.43787918,10.91514325,11.41337981,11.56931553,11.91148821,1536.862255,1274.396029,1388.948922,3979.759764,3893.769884,4086.000858,4018.346847,4018.596893,4070.534337,3882.819022,4001.458278,4220.880017,4289.884053,4320.846259,4457.656907,4463.095743,4658.154781,4734.412733,5292.323591,5750.700734,6639.854317,7136.899889,7410.83651,7628.474797,7543.772191,7921.020545
Portugal,13394,13510,14010,14030,14728,15207,15805,16670,17861,18415,19358,19490,19948,19988,20408,20460,19704,20397,19508,18917,18946,18149,16386,16224,16185,16240,26.94447493,25.78751953,22.39985615,24.36894961,24.94851063,23.74180386,25.3522361,24.54532332,22.43224103,19.01738032,20.11402495,20.82793312,18.27982187,22.09248039,19.86932538,18.07280039,22.33175137,23.14813607,23.18916935,24.89454299,27.82797757,27.21910302,25.51744089,30.17205521,30.45700808,27.15729839,3608.942972,3483.893889,3138.219847,3418.96363,3674.416646,3610.416113,4006.920916,4091.705397,4006.62257,3502.050586,3893.67295,4059.364165,3646.458867,4415.84498,4054.931924,3697.69496,4400.24829,4721.525314,4523.743157,4709.300697,5272.28863,4939.995007,4181.287864,4895.114237,4929.466758,4410.345259
Slovak Republic,15752,13365,12413,11159,10818,10972,11648,11623,11445,11252,11422,11813,11925,11377,11293,11714,11393,11532,11824,10847,11439,10968,10241,10575,9739,10034,2.225335934,2.08678407,2.318612712,4.104215353,4.717442454,4.207010486,3.905504627,3.853383866,3.630589127,3.797945468,3.728088583,6.001000951,5.481048827,5.346868056,6.247301565,6.306465482,6.567616328,8.232176727,7.629430259,9.999141564,10.27973566,10.35756693,10.47258454,10.67838221,12.24275155,13.40916822,350.5349163,278.898691,287.8093959,457.9893912,510.3329247,461.5931905,454.913179,447.8788067,415.5209256,427.3448241,425.822278,708.8982423,653.6150726,608.3131787,705.5077657,738.7393666,748.2485282,949.3346202,902.1038338,1084.606885,1175.898962,1136.017941,1072.497383,1129.238919,1192.321573,1345.475939
Slovenia,3693,3706,3395,3651,3879,4164,4587,4627,4546,4614,4646,4786,4749,4930,5081,5159,5240,5177,5518,5038,5219,5122,4996,4882,4712,4788,12.35195059,13.13077817,13.90084403,12.35673778,12.33609325,11.49482248,11.09418376,10.23270261,11.08845046,10.9503328,15.86476462,14.99182282,14.09608647,14.18373043,15.41055212,14.56625471,14.41437157,14.08997708,13.8524952,19.02836498,19.50475385,18.58643293,19.70462575,22.00563259,22.30048656,20.87739614,456.1575353,486.626639,471.9336548,451.1444963,478.5170572,478.6444081,508.8902091,473.4671498,504.0809579,505.2483554,737.0769642,717.5086402,669.4231465,699.2579102,783.0101532,751.4730805,755.3130703,729.4381134,764.3806851,958.6490277,1017.953103,951.9970947,984.4431025,1074.314983,1050.798927,999.6097272
Spain,60635,63166,63876,62364,65715,68859,69298,73229,77898,80092,85494,89594,90923,96032,99387,102063,99351,101752,98005,90955,92257,88858,84688,81103,78665,79717,10.54443118,9.921293468,8.220908383,9.079810066,9.241375679,8.264567068,10.06199181,9.154295862,8.941412249,7.681655092,7.884334625,8.933448599,7.415104871,8.899923929,8.032087626,7.289816473,8.47220721,9.005387929,9.737202935,12.21794729,14.39578579,14.74592653,15.77095021,16.9499657,17.3517358,16.25409774,6393.615846,6266.884232,5251.187439,5662.53275,6072.970027,5690.898237,6972.759084,6703.599317,6965.181314,6152.391196,6740.633044,8003.833938,6742.035802,8546.774947,7982.850929,7440.205387,8417.222585,9163.162326,9542.945736,11112.83396,13281.1201,13102.9354,13356.10231,13746.93068,13649.74297,12957.2791
Sweden,32117,32173,34093,34122,35006,35806,36842,36128,36238,35696,35297,35120,35526,34911,34762,34534,34438,34636,33789,32229,35025,33217,33263,32749,31912,32310,34.06199197,32.45879153,33.23216078,34.38515226,31.35442412,33.91418148,31.35609734,35.620611,35.65790342,34.79225049,40.00825867,37.66157584,36.14876133,34.91042646,35.82331248,39.99189533,41.12658777,42.92465517,44.86558813,47.0773642,45.97780593,46.48702965,49.9485495,48.82522226,49.69341469,53.2477698,10939.68996,10442.967,11329.84057,11732.90165,10975.92971,12143.31182,11552.21338,12869.01434,12921.71104,12419.44173,14121.71506,13226.74544,12842.20895,12187.57898,12452.89988,13810.80113,14163.1743,14867.38356,15159.63357,15172.56371,16103.72653,15441.59664,16614.38602,15989.77204,15858.1625,17204.35442
Switzerland,18244,19180,19204,18566,18131,18625,19023,18592,19083,19499,19270,19833,19307,19888,20033,20292,20168,19520,20176,19743,20557,18984,19602,20044,18370,18602,17.12391004,17.47275048,17.29862548,18.3554219,18.69457381,18.06594965,17.11697875,17.8231175,17.50425118,18.80686907,18.63012414,19.19619247,18.69186012,18.56090731,18.64231442,19.31090915,18.65681068,19.93005169,20.24202047,20.75387289,21.46036384,21.55703291,22.95850279,22.99251967,23.41814723,25.29198368,3124.086148,3351.273542,3322.028037,3407.86763,3389.513177,3364.783122,3256.162868,3313.674006,3340.336253,3667.1514,3590.024922,3807.180853,3608.837433,3691.393246,3734.614848,3918.569685,3762.705578,3890.34609,4084.03005,4097.437125,4411.606995,4092.387128,4500.325717,4608.620643,4301.913646,4704.814804
Turkey,40391,41131,42413,45718,43403,48102,52054,53715,53694,51910,57840,52110,57221,60691,63241,65378,72679,76642,73891,74470,78458,82348,86164,85568,86006,93601,24.51077696,24.18419764,24.22050637,23.82532605,24.24307665,22.09844195,21.24304374,20.84128763,21.63426895,20.55542625,17.26660897,18.11179305,17.4591762,16.27997122,16.77239302,15.29810211,14.24548625,12.48459838,12.41549787,13.32838057,14.32649611,12.78061278,12.83168463,13.84754526,11.60788754,13.37423004,9900.147922,9947.202331,10272.64337,10892.46256,10522.22256,10629.79255,11057.85399,11194.89765,11616.30437,10670.32177,9987.006628,9438.055358,9990.315213,9880.477333,10607.02907,10001.5932,10353.47695,9568.44589,9173.935531,9925.64501,11240.28232,10524.57901,11056.29274,11849.06753,9983.479758,12518.41306
