,Country Name,1990_TEC_ktoe,1991_TEC_ktoe,1992_TEC_ktoe,1993_TEC_ktoe,1994_TEC_ktoe,1995_TEC_ktoe,1996_TEC_ktoe,1997_TEC_ktoe,1998_TEC_ktoe,1999_TEC_ktoe,2000_TEC_ktoe,2001_TEC_ktoe,2002_TEC_ktoe,2003_TEC_ktoe,2004_TEC_ktoe,2005_TEC_ktoe,2006_TEC_ktoe,2007_TEC_ktoe,2008_TEC_ktoe,2009_TEC_ktoe,2010_TEC_ktoe,2011_TEC_ktoe,2012_TEC_ktoe,2013_TEC_ktoe,2014_TEC_ktoe,2015_TEC_ktoe,Country Code,Indicator Name,Indicator Code,1990_REC_PCT,1991_REC_PCT,1992_REC_PCT,1993_REC_PCT,1994_REC_PCT,1995_REC_PCT,1996_REC_PCT,1997_REC_PCT,1998_REC_PCT,1999_REC_PCT,2000_REC_PCT,2001_REC_PCT,2002_REC_PCT,2003_REC_PCT,2004_REC_PCT,2005_REC_PCT,2006_REC_PCT,2007_REC_PCT,2008_REC_PCT,2009_REC_PCT,2010_REC_PCT,2011_REC_PCT,2012_REC_PCT,2013_REC_PCT,2014_REC_PCT,2015_REC_PCT
26,Portugal,13394,13510,14010,14030,14728,15207,15805,16670,17861,18415,19358,19490,19948,19988,20408,20460,19704,20397,19508,18917,18946,18149,16386,16224,16185,16240,PRT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,26.94447493,25.78751953,22.39985615,24.36894961,24.94851063,23.74180386,25.3522361,24.54532332,22.43224103,19.01738032,20.11402495,20.82793312,18.27982187,22.09248039,19.86932538,18.07280039,22.33175137,23.14813607,23.18916935,24.89454299,27.82797757,27.21910302,25.51744089,30.17205521,30.45700808,27.15729839
27,Slovak Republic,15752,13365,12413,11159,10818,10972,11648,11623,11445,11252,11422,11813,11925,11377,11293,11714,11393,11532,11824,10847,11439,10968,10241,10575,9739,10034,SVK,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2.225335934,2.08678407,2.3186127119999997,4.104215353,4.7174424539999995,4.207010486000001,3.905504627,3.853383866,3.630589127,3.797945468,3.728088583,6.001000951,5.481048827,5.346868056,6.247301565,6.306465482,6.567616328,8.232176727,7.629430258999999,9.999141564,10.27973566,10.35756693,10.47258454,10.67838221,12.24275155,13.40916822
28,Slovenia,3693,3706,3395,3651,3879,4164,4587,4627,4546,4614,4646,4786,4749,4930,5081,5159,5240,5177,5518,5038,5219,5122,4996,4882,4712,4788,SVN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,12.35195059,13.13077817,13.90084403,12.35673778,12.33609325,11.49482248,11.09418376,10.23270261,11.08845046,10.9503328,15.86476462,14.99182282,14.09608647,14.18373043,15.41055212,14.56625471,14.41437157,14.08997708,13.8524952,19.02836498,19.50475385,18.58643293,19.70462575,22.00563259,22.30048656,20.87739614
29,Spain,60635,63166,63876,62364,65715,68859,69298,73229,77898,80092,85494,89594,90923,96032,99387,102063,99351,101752,98005,90955,92257,88858,84688,81103,78665,79717,ESP,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.54443118,9.921293468,8.220908383,9.079810066,9.241375678999999,8.264567068,10.06199181,9.154295862,8.941412248999999,7.681655092000001,7.884334625,8.933448599,7.4151048710000005,8.899923929,8.032087626000001,7.289816472999999,8.47220721,9.005387929,9.737202935,12.21794729,14.39578579,14.74592653,15.77095021,16.9499657,17.3517358,16.25409774
30,Sweden,32117,32173,34093,34122,35006,35806,36842,36128,36238,35696,35297,35120,35526,34911,34762,34534,34438,34636,33789,32229,35025,33217,33263,32749,31912,32310,SWE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34.06199197,32.45879153,33.23216078,34.38515226,31.35442412,33.91418148,31.35609734,35.620611,35.65790342,34.79225049,40.00825867,37.66157584,36.14876133,34.91042646,35.82331248,39.99189533,41.12658777,42.92465517,44.86558813,47.077364200000005,45.97780593,46.48702965,49.9485495,48.82522226,49.69341469,53.2477698
31,Switzerland,18244,19180,19204,18566,18131,18625,19023,18592,19083,19499,19270,19833,19307,19888,20033,20292,20168,19520,20176,19743,20557,18984,19602,20044,18370,18602,CHE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,17.12391004,17.47275048,17.29862548,18.3554219,18.69457381,18.06594965,17.11697875,17.8231175,17.50425118,18.80686907,18.63012414,19.19619247,18.69186012,18.56090731,18.64231442,19.31090915,18.65681068,19.93005169,20.24202047,20.75387289,21.46036384,21.55703291,22.95850279,22.99251967,23.41814723,25.29198368
32,Turkey,40391,41131,42413,45718,43403,48102,52054,53715,53694,51910,57840,52110,57221,60691,63241,65378,72679,76642,73891,74470,78458,82348,86164,85568,86006,93601,TUR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,24.51077696,24.18419764,24.22050637,23.82532605,24.24307665,22.09844195,21.24304374,20.84128763,21.63426895,20.55542625,17.26660897,18.11179305,17.459176199999998,16.27997122,16.77239302,15.29810211,14.24548625,12.48459838,12.41549787,13.32838057,14.32649611,12.78061278,12.83168463,13.84754526,11.60788754,13.37423004
33,United Kingdom,138167,143942,141921,144063,144355,143896,151463,147694,148075,150745,150739,150835,147950,149777,150319,148724,146005,142225,141749,132353,137988,126356,128998,129777,122867,126098,GBR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.651133978,0.608264131,0.840737796,0.775204971,1.021428484,1.060229099,0.943586897,1.028479689,1.0297043240000001,0.9489176570000001,0.961901516,0.852867466,0.970071248,0.934980337,1.13725833,1.352279738,1.553919991,1.839650772,2.7827919139999997,3.383031663,3.638918262,4.401118621,4.7512576189999995,6.015780949,7.3952204560000006,8.711685574
34,United States,1293556,1295124,1302817,1325519,1357150,1377747,1421479,1439350,1437857,1490481,1546290,1519913,1523505,1539355,1567724,1563079,1558703,1576084,1532044,1451968,1512988,1474081,1446257,1495370,1515124,1510647,USA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,4.175462186,4.507919594,4.763083108,4.281528407,4.088641398,4.726554335,4.763930451,4.514260299,4.53429689,5.709726592999999,5.429623689,4.67857121,4.840779184,5.3262822739999995,5.477656518,5.841090873,6.396513971,6.304128198,6.845540835,7.354404755,7.505172055,8.164451646,8.481450407999999,8.713261572999999,8.754308953999999,8.716935867
35,Brazil,111398,112889,114648,117831,123960,129199,135724,143499,148295,151753,153485,152821,157955,160100,169036,172131,177716,188052,195048,191224,211300,218243,224932,228776,232666,227745,BRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,49.86467493,48.93816849,48.70118267,48.19908801,48.35000852,46.13435665,44.53288239,43.72510837,43.86157674,44.09727587,42.79877399,41.47787881,43.02456209,45.30866138,45.38996097,46.34794058,46.90506004,47.41762519,47.26330741,49.11372304,47.00666157,45.46855053,43.6207953,42.44784254,41.84187872,43.79038920000001
36,China,657594,680411,693874,722877,742405,784257,762736,783411,789752,764455,781191,800541,839753,925820,1076285,1227114,1318943,1401758,1453511,1522046,1645014,1744159,1813217,1874099,1924054,1961099,CHN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34.08361405,33.25847354,32.9312779,31.6777918,31.24948417,29.47211139,30.53717546,30.18348168,29.73990148,30.50604898,29.73071484,28.45581538,27.09820152,23.94657959,20.24947926,18.20381865,17.09461008,15.34937114,14.60199657,13.91196227,12.88431031,11.69579699,11.96856703,11.838166900000001,12.22382301,12.41335257
37,India,243053,250743,256593,258850,268983,277229,283102,295042,297967,306730,315472,316461,328501,335875,348393,358130,368750,395029,420841,448311,478455,508124,515068,522239,538561,553789,IND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,58.65285835,57.60479334,57.23056748,56.98336334,55.55718746,54.484117000000005,53.76740970000001,52.4880731,52.71225571,51.717293700000006,51.57934762,51.78721923,50.56944266,50.84279906,49.72402461,48.57530875,47.44372171,45.86780352,43.63288301,40.77082759,39.48150873,38.93174021,38.39089015,37.84984118,36.65183786,36.02122257
38,Indonesia,79225,82080,85100,88923,93475,98480,104585,108568,106215,115052,120137,123134,122709,126864,131804,132381,137451,138708,135311,139464,145983,153412,158885,148858,150648,147309,IDN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,58.59753114,57.82874174,56.82076894,55.43301170000001,52.81378848,50.09815781,48.75037997,47.08737494,48.29961688,45.07867761,45.58150099,44.30833333,44.63581086,42.97783588,41.42415303,41.44568581,39.93704821,39.96935654,40.15875348,38.97047862,37.75342034,38.22547215,38.23365734,38.10645359,37.45426835,36.8793481
39,Morocco,5646,6113,6571,6527,7078,7045,7451,7767,8006,8364,8543,8832,8962,8983,10699,11212,11611,12029,12468,12936,13221,13998,14253,14563,14538,15091,MAR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,19.48255574,19.5554268,18.13514015,17.63590896,17.06127737,17.16420329,17.84958758,17.5216153,16.87740436,15.40813047,15.25900974,15.11672674,14.93612451,15.70333275,23.50541791,20.65759015,18.64916383,16.96936479,15.11902023,14.75654491,14.40785881,12.35167755,11.40499417,12.05025651,11.71858728,11.31745963
40,Singapore,5007,5154,4854,5021,5439,6060,6166,8298,7550,7400,8306,8904,10415,11593,12920,13460,13824,14905,11885,13038,15273,16360,15998,16920,17928,18836,SGP,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.19483372399999999,0.49550922399999997,0.52847069,0.515729258,0.477110597,0.45273792399999996,0.45787181899999996,0.43142565899999996,0.433014805,0.426520083,0.325118893,0.5959067339999999,0.576908092,0.575479846,0.525078849,0.535101712,0.51811873,0.5039777679999999,0.5317358,0.478419172,0.475165157,0.46926148799999995,0.49519991799999996,0.555974866,0.621625223,0.708635297
41,South Africa,51048,50293,47864,47702,49058,52285,55368,57318,57214,55362,54728,53179,55450,58100,60457,60620,61128,65511,66539,68840,62590,63564,65085,67936,67942,66189,ZAF,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,16.62782171,17.46611882,18.36321702,18.58595006,18.56288156,18.11307968,17.4377706,17.10719134,17.27249004,18.22132003,18.50808046,19.1214417,18.32410404,17.5065632,16.76079749,16.245341699999997,16.37039674,15.81162909,15.98658971,15.57029253,17.07980233,16.97859476,16.63288545,16.09739397,16.5881622,17.15014125
42,Thailand,28926,30701,33327,36069,40031,44396,49380,50094,45635,49311,50575,52369,58720,63782,69142,69890,71606,72840,74285,78478,84900,85694,91846,95910,96598,98012,THA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,33.63913092,33.01563167,31.82377522,26.42591045,23.86782039,22.6994113,21.16347051,21.24884266,21.65097363,21.31244234,21.98813771,20.03560455,20.06692794,20.34439559,20.02466822,20.25239594,20.68693834,21.61124189,22.49108604,22.65736722,22.65487764,22.75552404,23.28982035,22.94360746,24.09572604,22.86307013
43,World,6267177,6333490,6311526,6349573,6383283,6536286,6645895,6729651,6743126,6872275,7032031,7069571,7187911,7409527,7745072,7979851,8180595,8408520,8478565,8378371,8837731,8951917,9052350,9209878,9304601,9407986,WLD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,17.06715389,17.22381892,17.58433435,17.59843739,17.69286334,17.75534779,17.74181966,17.76830281,17.92092239,18.12984203,17.899392199999998,17.60150667,17.61837319,17.43409821,17.09722966,17.04344248,17.12126069,16.90830508,17.03502908,17.511608600000002,17.25519195,17.20977103,17.47623659,17.69905686,17.87018404,18.05375499
