Country_Name,1990_REC_ktoe,1991_REC_ktoe,1992_REC_ktoe,1993_REC_ktoe,1994_REC_ktoe,1995_REC_ktoe,1996_REC_ktoe,1997_REC_ktoe,1998_REC_ktoe,1999_REC_ktoe,2000_REC_ktoe,2001_REC_ktoe,2002_REC_ktoe,2003_REC_ktoe,2004_REC_ktoe,2005_REC_ktoe,2006_REC_ktoe,2007_REC_ktoe,2008_REC_ktoe,2009_REC_ktoe,2010_REC_ktoe,2011_REC_ktoe,2012_REC_ktoe,2013_REC_ktoe,2014_REC_ktoe,2015_REC_ktoe
Luxembourg,47.83250402,50.95320075,60.96512906,61.76972452,85.64039926,111.6259043,88.5892536,127.3791981,195.6416405,178.0645667,223.1669829,116.6197068,44.55826636,46.05357965,54.86171749,77.36377831,84.75787265,143.5103954,158.0591334,138.2750075,144.2647049,147.0171971,159.7339666,217.3098832,250.8249721,323.1404028
Mexico,12009.7395,11364.63458,11586.77438,11490.37224,10717.36445,11540.71251,11580.96315,11344.96514,11244.69096,11720.55288,11592.33051,10551.51452,9996.091416,9900.067549,10433.79774,10922.76121,10923.42503,10734.25823,11422.14862,10170.69557,10974.29287,10908.87006,10690.10463,11038.21823,11585.44176,11040.83939
Netherlands,647.1156612,653.5332192,669.7488044,682.4310271,715.657616,737.0724809,793.4633451,895.6556848,929.7935034,977.2886239,1039.299646,1070.582852,1175.395793,1214.038915,1422.002255,1746.099513,1977.589411,2292.303111,2433.15167,2657.280735,2527.587274,2837.14406,3031.517925,3023.427755,3141.263183,3323.424015
New Zealand,2932.187078,2935.544634,2769.69276,3020.204442,3295.787363,3479.909266,3449.018054,3285.945335,3479.441358,3514.547037,3745.728917,3471.934711,3880.238823,3598.170577,4034.528833,3670.607498,3728.495005,3710.186718,3581.328534,3805.936084,4070.38379,4115.942562,3958.072419,4008.484551,4323.70483,4359.747258
Norway,10316.35095,10470.80349,10453.45133,10702.41901,10815.63929,11159.75824,10945.90351,11088.18669,11656.38807,11769.50677,11916.6481,12148.38227,11883.15436,11371.76348,11651.28604,11983.19689,11642.45924,12046.17475,12260.87128,11367.81004,12093.47504,11617.90769,12029.30104,11945.23074,11537.6582,11793.57641
Poland,1536.862255,1274.396029,1388.948922,3979.759764,3893.769884,4086.000858,4018.346847,4018.596893,4070.534337,3882.819022,4001.458278,4220.880017,4289.884053,4320.846259,4457.656907,4463.095743,4658.154781,4734.412733,5292.323591,5750.700734,6639.854317,7136.899889,7410.83651,7628.474797,7543.772191,7921.020545
Portugal,3608.942972,3483.893889,3138.219847,3418.96363,3674.416646,3610.416113,4006.920916,4091.705397,4006.62257,3502.050586,3893.67295,4059.364165,3646.458867,4415.84498,4054.931924,3697.69496,4400.24829,4721.525314,4523.743157,4709.300697,5272.28863,4939.995007,4181.287864,4895.114237,4929.466758,4410.345259
Slovak Republic,350.5349163,278.898691,287.8093959,457.9893912,510.3329247,461.5931905,454.913179,447.8788067,415.5209256,427.3448241,425.822278,708.8982423,653.6150726,608.3131787,705.5077657,738.7393666,748.2485282,949.3346202,902.1038338,1084.606885,1175.898962,1136.017941,1072.497383,1129.238919,1192.321573,1345.475939
Slovenia,456.1575353,486.626639,471.9336548,451.1444963,478.5170572,478.6444081,508.8902091,473.4671498,504.0809579,505.2483554,737.0769642,717.5086402,669.4231465,699.2579102,783.0101532,751.4730805,755.3130703,729.4381134,764.3806851,958.6490277,1017.953103,951.9970947,984.4431025,1074.314983,1050.798927,999.6097272
Spain,6393.615846,6266.884232,5251.187439,5662.53275,6072.970027,5690.898237,6972.759084,6703.599317,6965.181314,6152.391196,6740.633044,8003.833938,6742.035802,8546.774947,7982.850929,7440.205387,8417.222585,9163.162326,9542.945736,11112.83396,13281.1201,13102.9354,13356.10231,13746.93068,13649.74297,12957.2791
Sweden,10939.68996,10442.967,11329.84057,11732.90165,10975.92971,12143.31182,11552.21338,12869.01434,12921.71104,12419.44173,14121.71506,13226.74544,12842.20895,12187.57898,12452.89988,13810.80113,14163.1743,14867.38356,15159.63357,15172.56371,16103.72653,15441.59664,16614.38602,15989.77204,15858.1625,17204.35442
Switzerland,3124.086148,3351.273542,3322.028037,3407.86763,3389.513177,3364.783122,3256.162868,3313.674006,3340.336253,3667.1514,3590.024922,3807.180853,3608.837433,3691.393246,3734.614848,3918.569685,3762.705578,3890.34609,4084.03005,4097.437125,4411.606995,4092.387128,4500.325717,4608.620643,4301.913646,4704.814804
Turkey,9900.147922,9947.202331,10272.64337,10892.46256,10522.22256,10629.79255,11057.85399,11194.89765,11616.30437,10670.32177,9987.006628,9438.055358,9990.315213,9880.477333,10607.02907,10001.5932,10353.47695,9568.44589,9173.935531,9925.64501,11240.28232,10524.57901,11056.29274,11849.06753,9983.479758,12518.41306
United Kingdom,899.6522834,875.5475554,1193.183487,1116.783537,1474.483088,1525.627264,1429.185022,1519.002792,1524.734678,1430.445922,1449.960726,1286.422642,1435.220411,1400.385499,1709.515349,2011.164518,2268.800883,2616.44331,3944.57971,4477.543897,5021.270531,5561.077445,6129.027303,7807.100042,9086.285518,10985.26128
United States,54011.94163,58383.14856,62054.25646,56752.47253,55488.99673,65119.96055,67718.27094,64976.00561,65196.70523,85102.39002,83957.72814,71110.21204,73749.51291,81990.3925,85874.53587,91300.86481,99702.65516,99358.35587,104876.6976,106783.6036,113552.3526,120350.6305,122663.5702,130295.4996,132638.636,131682.1302
Brazil,55548.25058,55245.80903,55834.93191,56793.46739,59934.67056,59605.12745,60441.8093,62745.09326,65044.52523,66918.93905,65689.69826,63386.90918,67959.44705,72539.16687,76725.37443,79779.1736,83357.7965,89169.79252,92186.13584,93917.22575,99325.0759,99231.92873,98117.12728,97110.47625,97351.82554,99730.42188
China,224131.801,226294.3124,228501.5752,228991.471,231997.733,231137.0966,232918.0306,236460.7157,234871.4667,233205.0167,232253.6686,227800.469,227557.9602,221702.2232,217942.1079,223381.6072,225468.163,215161.0379,212241.6264,211746.4653,211948.7084,203993.2958,217016.092,221858.9675,235192.9556,243438.1331
India,142557.5318,144439.987,146849.63,147501.436,149439.3895,151045.7727,152216.6122,154861.8606,157065.127,158632.455,162718.3995,163886.3518,166121.1248,170768.2513,173235.0211,173962.7532,174948.7238,181191.1256,183625.0612,182780.1049,188901.2526,197821.5156,197739.1901,197666.6321,197392.5045,199481.5683
Indonesia,46423.89405,47465.83122,48354.47437,49292.69699,49367.68878,49336.66581,50985.58489,51121.82122,51301.43807,51863.92016,54760.24784,54558.62316,54772.15715,54523.40171,54598.69066,54866.21333,54893.87214,55440.69507,54339.21092,54349.7883,55113.57561,58642.46133,60747.54646,56724.50469,56424.10618,54326.59889
Morocco,1099.985097,1195.42324,1191.660059,1151.095778,1207.597212,1209.218122,1329.972771,1360.90386,1351.204993,1288.736033,1303.577202,1335.109306,1338.575479,1410.630381,2514.844662,2316.129008,2165.354412,2041.244891,1885.039442,1908.90665,1904.863013,1728.987823,1625.553819,1754.878856,1703.648219,1707.917833
Singapore,9.755324561,25.5385454,25.65196729,25.89476604,25.95004537,27.43591819,28.23237636,35.79970118,32.69261778,31.56248614,27.00437525,53.0595356,60.08497778,66.71537855,67.84018729,72.02469044,71.62473324,75.11788632,63.19679983,62.37629165,72.57197443,76.77117944,79.22208288,94.07094733,111.44497,133.4785445
South Africa,8488.170427,8784.235138,8789.370194,8865.869898,9106.578436,9470.423711,9654.944826,9805.499932,9882.282451,10087.6872,10129.10227,10168.59148,10160.71569,10171.31322,10133.07534,9847.926139,10006.89612,10358.35633,10637.31693,10718.58938,10690.24828,10792.27397,10825.5135,10935.92557,11270.32916,11351.50699
Thailand,9730.45501,10136.12908,10605.90957,9531.56164,9554.52718,10077.63064,10450.52174,10644.39524,9880.421816,10509.37844,11120.50065,10492.44575,11783.30009,12976.0624,13845.4561,14154.39952,14813.08907,15741.62859,16707.50326,17781.04865,19233.99112,19500.11877,21390.7684,22005.21391,23275.98944,22408.5523
World,1069628.743,1090868.849,1109839.834,1117425.629,1129385.538,1160540.312,1179102.706,1195744.768,1208430.377,1245932.601,1258690.808,1244351.011,1266392.985,1291784.214,1324192.747,1360041.315,1400620.996,1421738.214,1444326.013,1467187.537,1524967.448,1540604.418,1582010.103,1630061.544,1662749.323,1698494.742
